 # mass    139.578003      MeV
 # Ekin    45000.0000      MeV
 # path   0.260206014      um
 # mean dE/dx    373.898499      eV/um
 #         j      dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
         273      34.1711845          120277.531    
         274      34.5432854          119720.703    
         275      34.9194374          119158.344    
         276      35.2996864          118641.039    
         277      35.6840744          118131.461    
         278      36.0726471          117633.148    
         279      36.4654541          117201.992    
         280      36.8625374          116766.281    
         281      37.2639427          116339.531    
         282      37.6697197          115914.414    
         283      38.0799179          115484.148    
         284      38.4945831          115048.312    
         285      38.9137611          114605.633    
         286      39.3375053          114235.195    
         287      39.7658615          113880.320    
         288      40.1988831          113519.688    
         289      40.6366196          113152.406    
         290      41.0791245          112784.508    
         291      41.5264473          112435.414    
         292      41.9786415          112080.305    
         293      42.4357605          111727.195    
         294      42.8978577          111367.961    
         295      43.3649864          110994.242    
         296      43.8372002          110610.258    
         297      44.3145561          110247.727    
         298      44.7971115          109892.758    
         299      45.2849197          109543.906    
         300      45.7780418          109197.398    
         301      46.2765312          108850.828    
         302      46.7804489          108502.156    
         303      47.2898560          108152.812    
         304      47.8048096          107800.883    
         305      48.3253708          107438.109    
         306      48.8516006          107065.312    
         307      49.3835602          106698.062    
         308      49.9213104          106327.391    
         309      50.4649200          105955.641    
         310      51.0144463          105576.656    
         311      51.5699577          105207.508    
         312      52.1315193          104833.867    
         313      52.6991959          104466.461    
         314      53.2730522          104102.359    
         315      53.8531570          103743.602    
         316      54.4395790          103386.961    
         317      55.0323868          103025.797    
         318      55.6316490          102677.203    
         319      56.2374382          102314.242    
         320      56.8498230          101933.711    
         321      57.4688759          101543.836    
         322      58.0946693          101147.805    
         323      58.7272797          100762.344    
         324      59.3667793          100386.586    
         325      60.0132408          100016.000    
         326      60.6667442          99644.2500    
         327      61.3273621          99271.9844    
         328      61.9951744          98899.8125    
         329      62.6702576          98518.7266    
         330      63.3526917          98138.2812    
         331      64.0425568          97758.5000    
         332      64.7399368          97378.9297    
         333      65.4449081          97003.4297    
         334      66.1575546          96629.2812    
         335      66.8779602          96255.4062    
         336      67.6062164          95883.0859    
         337      68.3423996          95509.2812    
         338      69.0866013          95133.8906    
         339      69.8389053          94761.8125    
         340      70.5994034          94390.9219    
         341      71.3681793          94028.6094    
         342      72.1453247          93673.9688    
         343      72.9309387          93310.5234    
         344      73.7251053          92954.0312    
         345      74.5279160          92591.8906    
         346      75.3394699          92236.3281    
         347      76.1598663          91893.9062    
         348      76.9891968          91544.4062    
         349      77.8275528          91208.6719    
         350      78.6750412          90866.9297    
         351      79.5317535          90533.0703    
         352      80.3977966          90203.8281    
         353      81.2732697          89878.6641    
         354      82.1582794          89567.5234    
         355      83.0529251          89255.3750    
         356      83.9573135          88945.1328    
         357      84.8715515          88666.5469    
         358      85.7957458          88422.9219    
         359      86.7300034          88204.0938    
         360      87.6744308          88043.1484    
         361      88.6291428          88090.7031    
         362      89.5942535          88710.7578    
         363      90.5698700          89754.4609    
         364      91.5561142          91152.4844    
         365      92.5530930          93087.7266    
         366      93.5609283          96002.9531    
         367      94.5797424          100395.922    
         368      95.6096497          107426.242    
         369      96.6507721          116923.180    
         370      97.7032318          128429.250    
         371      98.7671509          147967.828    
         372      99.8426590          173676.688    
         373      100.929878          435798.750    
         374      102.028931          399231.688    
         375      103.139954          397375.281    
         376      104.263077          394356.844    
         377      105.398430          410127.969    
         378      106.546143          441237.281    
         379      107.706352          471736.531    
         380      108.879196          499656.000    
         381      110.064812          480249.562    
         382      111.263336          573306.500    
         383      112.474915          646131.625    
         384      113.699684          685913.125    
         385      114.937790          707891.688    
         386      116.189384          722943.250    
         387      117.454605          732025.875    
         388      118.733604          738480.750    
         389      120.026527          742791.000    
         390      121.333534          746333.188    
         391      122.654770          750193.125    
         392      123.990395          754392.312    
         393      125.340561          758989.562    
         394      126.705429          763678.062    
         395      128.085159          768538.125    
         396      129.479919          774479.312    
         397      130.889862          780762.188    
         398      132.315155          787255.688    
         399      133.755966          793849.375    
         400      135.212479          800036.875    
         401      136.684845          805426.000    
         402      138.173248          810005.750    
         403      139.677856          814713.875    
         404      141.198853          819534.875    
         405      142.736404          824435.938    
         406      144.290695          831012.875    
         407      145.861923          844677.625    
         408      147.450256          859236.375    
         409      149.055878          881716.625    
         410      150.678986          901144.188    
         411      152.319778          910081.375    
         412      153.978439          918651.250    
         413      155.655151          925296.562    
         414      157.350128          929020.125    
         415      159.063553          928862.750    
         416      160.795639          927764.688    
         417      162.546585          926487.500    
         418      164.316605          924459.625    
         419      166.105896          921935.562    
         420      167.914673          918873.062    
         421      169.743149          915016.688    
         422      171.591537          912238.562    
         423      173.460052          909083.188    
         424      175.348907          905508.625    
         425      177.258331          902774.250    
         426      179.188553          899299.312    
         427      181.139786          896074.250    
         428      183.112274          892884.250    
