 # mass   0.511003971      MeV
 # Ekin   0.100000001      MeV
 # path    9.49258208E-02  um
 # mean dE/dx    751.205688      eV/um
 #         j   dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
 861  19923.8887  505396.625
 862  20140.8457  504195.062
 863  20360.1660  502997.125
 864  20581.8730  508279.188
 865  20805.9941  500640.156
 866  21032.5566  499450.344
 867  21261.5859  498265.125
 868  21493.1094  497084.219
 869  21727.1543  495905.375
 870  21963.7480  494734.812
 871  22202.9180  493570.188
 872  22444.6914  492412.250
 873  22689.0977  491261.469
 874  22936.1660  490118.781
 875  23185.9238  488984.062
 876  23438.4023  487858.781
 877  23693.6309  486742.938
 878  23951.6387  485638.438
 879  24212.4551  484544.469
 880  24476.1113  483464.062
 881  24742.6387  482396.375
 882  25012.0684  481343.750
 883  25284.4316  480305.906
 884  25559.7617  479285.344
 885  25838.0898  478282.031
 886  26119.4492  477296.094
 887  26403.8711  476332.625
 888  26691.3906  475391.375
 889  26982.0410  474473.156
 890  27275.8555  473580.156
 891  27572.8711  472713.719
 892  27873.1211  471876.188
 893  28176.6387  471068.938
 894  28483.4629  470294.594
 895  28793.6270  469554.719
 896  29107.1699  468851.656
 897  29424.1270  468187.938
 898  29744.5352  467565.969
 899  30068.4316  466988.594
 900  30395.8555  463214.344
 901  30726.8457  462800.719
 902  31061.4395  462439.219
 903  31399.6758  462133.375
 904  31741.5957  461886.719
 905  32087.2383  461703.312
 906  32436.6465  461587.094
 907  32789.8594  461542.656
 908  33146.9180  461574.594
 909  33507.8633  461687.938
 910  33872.7383  461887.656
 911  34241.5898  462178.938
 912  34614.4570  462568.969
 913  34991.3828  463062.719
 914  35372.4141  463667.656
 915  35757.5938  464390.750
 916  36146.9688  465239.031
 917  36540.5820  466221.469
 918  36938.4844  467346.406
 919  37340.7188  468623.344
 920  37747.3320  470061.188
 921  38158.3750  471671.906
 922  38573.8945  473464.656
 923  38993.9375  475452.875
 924  39418.5547  477649.188
 925  39847.7930  480067.438
