 # mass   0.511003971      MeV
 # Ekin    5000.00000      MeV
 # path   0.260199994      um
 # mean dE/dx    374.291534      eV/um
 # j   dE [eV]   dE*dE*dsig/ddE [eV*eV/cm]
 START
 273  34.1711845  120276.570
 274  34.5432854  119719.766
 275  34.9194374  119157.414
 276  35.2996864  118640.117
 277  35.6840744  118130.555
 278  36.0726471  117632.250
 279  36.4654541  117201.109
 280  36.8625374  116765.398
 281  37.2639427  116338.656
 282  37.6697197  115913.555
 283  38.0799179  115483.305
 284  38.4945831  115047.469
 285  38.9137611  114604.797
 286  39.3375053  114234.375
 287  39.7658615  113879.516
 288  40.1988831  113518.898
 289  40.6366196  113151.625
 290  41.0791245  112783.727
 291  41.5264473  112434.641
 292  41.9786415  112079.555
 293  42.4357605  111726.445
 294  42.8978577  111367.227
 295  43.3649864  110993.523
 296  43.8372002  110609.547
 297  44.3145561  110247.031
 298  44.7971115  109892.062
 299  45.2849197  109543.227
 300  45.7780418  109196.734
 301  46.2765312  108850.172
 302  46.7804489  108501.516
 303  47.2898560  108152.180
 304  47.8048096  107800.258
 305  48.3253708  107437.500
 306  48.8516006  107064.719
 307  49.3835602  106697.484
 308  49.9213104  106326.828
 309  50.4649200  105955.086
 310  51.0144463  105576.109
 311  51.5699577  105206.984
 312  52.1315193  104833.344
 313  52.6991959  104465.953
 314  53.2730522  104101.867
 315  53.8531570  103743.125
 316  54.4395790  103386.500
 317  55.0323868  103025.352
 318  55.6316490  102676.773
 319  56.2374382  102313.828
 320  56.8498230  101933.312
 321  57.4688759  101543.453
 322  58.0946693  101147.430
 323  58.7272797  100761.992
 324  59.3667793  100386.242
 325  60.0132408  100015.680
 326  60.6667442  99643.9531
 327  61.3273621  99271.7031
 328  61.9951744  98899.5469
 329  62.6702576  98518.4844
 330  63.3526917  98138.0625
 331  64.0425568  97758.2891
 332  64.7399368  97378.7344
 333  65.4449081  97003.2578
 334  66.1575546  96629.1328
 335  66.8779602  96255.2891
 336  67.6062164  95882.9922
 337  68.3423996  95509.2031
 338  69.0866013  95133.8438
 339  69.8389053  94761.7969
 340  70.5994034  94390.9297
 341  71.3681793  94028.6484
 342  72.1453247  93674.0469
 343  72.9309387  93310.6250
 344  73.7251053  92954.1719
 345  74.5279160  92592.0781
 346  75.3394699  92236.5469
 347  76.1598663  91894.1641
 348  76.9891968  91544.7266
 349  77.8275528  91209.0391
 350  78.6750412  90867.3516
 351  79.5317535  90533.5547
 352  80.3977966  90204.3828
 353  81.2732697  89879.2969
 354  82.1582794  89568.2422
 355  83.0529251  89256.1875
 356  83.9573135  88946.0547
 357  84.8715515  88667.6250
 358  85.7957458  88424.1719
 359  86.7300034  88205.5625
 360  87.6744308  88044.9141
 361  88.6291428  88092.9219
 362  89.5942535  88713.7656
 363  90.5698700  89758.7266
 364  91.5561142  91158.7422
 365  92.5530930  93097.2500
 366  93.5609283  96017.4375
 367  94.5797424  100415.797
 368  95.6096497  107449.883
 369  96.6507721  116948.961
 370  97.7032318  128456.562
 371  98.7671509  147996.922
 372  99.8426590  173704.109
 373  100.929878  435819.344
 374  102.028931  399250.812
 375  103.139954  397394.594
 376  104.263077  394376.844
 377  105.398430  410148.906
 378  106.546143  441258.500
 379  107.706352  471757.688
 380  108.879196  499676.594
 381  110.064812  480272.500
 382  111.263336  573328.688
 383  112.474915  646153.000
 384  113.699684  685933.250
 385  114.937790  707911.125
 386  116.189384  722962.125
 387  117.454605  732044.312
 388  118.733604  738499.062
 389  120.026527  742809.188
 390  121.333534  746351.312
 391  122.654770  750211.312
 392  123.990395  754410.500
 393  125.340561  759008.000
 394  126.705429  763696.500
 395  128.085159  768556.750
 396  129.479919  774498.188
 397  130.889862  780781.250
 398  132.315155  787274.938
 399  133.755966  793868.812
 400  135.212479  800056.562
 401  136.684845  805445.812
 402  138.173248  810025.875
 403  139.677856  814734.188
 404  141.198853  819555.562
 405  142.736404  824456.938
 406  144.290695  831034.375
 407  145.861923  844699.625
 408  147.450256  859258.812
 409  149.055878  881739.312
 410  150.678986  901166.750
 411  152.319778  910103.875
 412  153.978439  918673.812
 413  155.655151  925319.062
 414  157.350128  929042.625
 415  159.063553  928885.312
 416  160.795639  927787.438
 417  162.546585  926510.375
 418  164.316605  924482.625
 419  166.105896  921958.875
 420  167.914673  918896.375
 421  169.743149  915040.250
 422  171.591537  912262.188
 423  173.460052  909107.062
 424  175.348907  905532.875
 425  177.258331  902798.688
 426  179.188553  899324.062
 427  181.139786  896099.375
 428  183.112274  892909.562
 429  185.106232  889088.438
 430  187.121902  886136.375
 431  189.159531  882479.688
 432  191.219345  878327.312
 433  193.301590  873465.562
 434  195.406509  868164.750
 435  197.534348  863628.938
 436  199.685364  858278.688
 437  201.859802  853718.688
 438  204.057907  848711.000
 439  206.279953  843954.625
 440  208.526199  839202.562
 441  210.796906  835999.438
 442  213.092331  836496.000
 443  215.412750  836542.438
 444  217.758438  836140.062
 445  220.129669  835269.438
 446  222.526718  834300.562
 447  224.949875  832832.500
 448  227.399414  831830.625
 449  229.875626  830363.250
 450  232.378815  829218.000
 451  234.909256  827606.500
 452  237.467255  826397.688
 453  240.053101  824804.500
 454  242.667114  823535.312
 455  245.309586  821801.000
 456  247.980835  819739.625
 457  250.681168  817433.250
 458  253.410904  815370.062
 459  256.170380  813219.812
 460  258.959900  811084.000
 461  261.779785  808834.750
 462  264.630371  806382.938
 463  267.511993  804212.875
 464  270.425018  801820.062
 465  273.369751  799617.938
 466  276.346558  797260.625
 467  279.355774  794894.438
 468  282.397766  792681.062
 469  285.472870  790279.312
 470  288.581482  787906.625
 471  291.723938  785450.750
 472  294.900604  782858.750
 473  298.111877  780423.438
 474  301.358093  775861.750
 475  304.639679  768390.188
 476  307.957001  761411.125
 477  311.310425  754232.500
 478  314.700378  746843.438
 479  318.127228  739569.938
 480  321.591400  732233.250
 481  325.093292  724898.188
 482  328.633331  717946.688
 483  332.211914  710991.438
 484  335.829468  704046.000
 485  339.486420  697268.500
 486  343.183197  690674.375
 487  346.920227  684096.688
 488  350.697937  677552.875
 489  354.516785  671152.312
 490  358.377228  664794.312
 491  362.279694  658456.062
 492  366.224670  652168.188
 493  370.212585  645929.688
 494  374.243927  639894.938
 495  378.319183  633950.938
 496  382.438812  627911.875
 497  386.603302  621823.438
 498  390.813141  615802.125
 499  395.068817  609861.938
 500  399.370850  604098.625
 501  403.719727  598411.125
 502  408.115936  592796.062
 503  412.560028  587244.812
 504  417.052521  581766.062
 505  421.593933  576351.000
 506  426.184784  570960.750
 507  430.825623  565614.188
 508  435.516998  560338.688
 509  440.259460  555139.688
 510  445.053589  550010.438
 511  449.899902  544901.375
 512  454.798981  539725.062
 513  459.751434  534623.250
 514  464.757812  529593.188
 515  469.818695  524637.250
 516  474.934692  519751.969
 517  480.106384  514952.375
 518  485.334412  510230.250
 519  490.619354  505568.781
 520  495.961853  500922.688
 521  501.362518  496334.469
 522  506.821991  491813.312
 523  512.340942  487352.094
 524  517.919983  482890.125
 525  523.559753  478420.688
 526  529.260925  473991.594
 527  535.024231  469617.750
 528  540.850281  465346.750
 529  546.739746  461142.219
 530  552.693359  456995.188
 531  558.711792  452884.688
 532  564.795776  448769.531
 533  570.945984  444735.656
 534  577.163208  440774.594
 535  583.448120  436854.688
 536  589.801453  432970.188
 537  596.223999  429177.906
 538  602.716431  425490.625
 539  609.279602  421751.375
 540  615.914246  418177.188
 541  622.621094  414563.250
 542  629.401001  410985.250
 543  636.254761  407567.438
 544  643.183105  404124.094
 545  650.186890  400667.625
 546  657.266968  397311.312
 547  664.424133  393943.062
 548  671.659241  390563.438
 549  678.973145  387250.469
 550  686.366699  384058.531
 551  693.840759  380857.688
 552  701.396179  377650.812
 553  709.033875  374491.406
 554  716.754761  371431.281
 555  724.559692  368385.625
 556  732.449646  365357.906
 557  740.425476  362377.094
 558  748.488159  359482.375
 559  756.638672  356628.375
 560  764.877930  353806.094
 561  773.206909  351021.969
 562  781.626587  348261.312
 563  790.137939  345530.375
 564  798.742004  342854.625
 565  807.439758  340211.344
 566  816.232178  337593.562
 567  825.120361  335001.781
 568  834.105347  332423.812
 569  843.188171  329859.625
 570  852.369873  327317.656
 571  861.651550  324842.562
 572  871.034302  322429.156
 573  880.519226  320052.844
 574  890.107483  317693.625
 575  899.800110  315375.531
 576  909.598267  313074.031
 577  919.503174  310801.969
 578  929.515930  308565.094
 579  939.637695  306375.844
 580  949.869690  304195.750
 581  960.213074  302052.312
 582  970.669128  299932.594
 583  981.239014  297810.688
 584  991.924011  295719.406
 585  1002.72534  293706.438
 586  1013.64429  291715.000
 587  1024.68213  289744.656
 588  1035.84021  287797.312
 589  1047.11975  285870.438
 590  1058.52209  283953.000
 591  1070.04871  282092.625
 592  1081.70081  280257.062
 593  1093.47974  278448.969
 594  1105.38696  276647.688
 595  1117.42383  274860.969
 596  1129.59180  273091.500
 597  1141.89221  271388.531
 598  1154.32666  269718.250
 599  1166.89648  268047.688
 600  1179.60315  266387.781
 601  1192.44824  264759.375
 602  1205.43311  263171.562
 603  1218.55945  261593.422
 604  1231.82874  260037.312
 605  1245.24243  258489.578
 606  1258.80225  256954.062
 607  1272.50977  255461.297
 608  1286.36646  254003.219
 609  1300.37402  252545.938
 610  1314.53418  251125.844
 611  1328.84851  249704.156
 612  1343.31873  248312.406
 613  1357.94653  246954.266
 614  1372.73364  245600.203
 615  1387.68176  244257.922
 616  1402.79260  242936.188
 617  1418.06799  241648.859
 618  1433.50977  240383.438
 619  1449.11963  239117.781
 620  1464.89954  237883.953
 621  1480.85120  236673.391
 622  1496.97656  235481.094
 623  1513.27759  234309.109
 624  1529.75610  233143.984
 625  1546.41406  231994.766
 626  1563.25342  230853.641
 627  1580.27612  229718.391
 628  1597.48425  228603.438
 629  1614.87976  227530.297
 630  1632.46460  226490.891
 631  1650.24097  225465.578
 632  1668.21094  224455.000
 633  1686.37659  223457.047
 634  1704.73999  222473.375
 635  1723.30334  221500.438
 636  1742.06885  220560.359
 637  1761.03870  219679.531
 638  1780.21521  218833.156
 639  1799.60046  218076.750
 640  1819.19678  217531.469
 641  1839.00659  675249.875
 642  1859.03210  654649.875
 643  1879.27563  644518.188
 644  1899.73962  635732.188
 645  1920.42639  627818.938
 646  1941.33850  620201.625
 647  1962.47827  612864.438
 648  1983.84827  605777.938
 649  2005.45093  598951.312
 650  2027.28882  592215.688
 651  2049.36450  585722.125
 652  2071.68066  579244.312
 653  2094.23975  572982.875
 654  2117.04443  566836.250
 655  2140.09766  560750.438
 656  2163.40186  554944.438
 657  2186.95972  549083.562
 658  2210.77417  543279.062
 659  2234.84790  537741.812
 660  2259.18384  532114.500
 661  2283.78467  526596.562
 662  2308.65356  521652.156
 663  2333.79321  516503.375
 664  2359.20654  511428.094
 665  2384.89673  506422.938
 666  2410.86646  501608.500
 667  2437.11914  496741.219
 668  2463.65771  491952.750
 669  2490.48511  487173.750
 670  2517.60474  482538.719
 671  2545.01978  477840.844
 672  2572.73315  473371.250
 673  2600.74829  468740.969
 674  2629.06860  464461.688
 675  2657.69727  460028.250
 676  2686.63770  455766.656
 677  2715.89331  451513.594
 678  2745.46753  447275.781
 679  2775.36377  443226.906
 680  2805.58545  439089.062
 681  2836.13623  435117.625
 682  2867.01978  431186.531
 683  2898.23950  427219.688
 684  2929.79932  423451.438
 685  2961.70264  419632.750
 686  2993.95337  415873.250
 687  3026.55542  412225.844
 688  3059.51245  408550.781
 689  3092.82837  404937.844
 690  3126.50708  401466.781
 691  3160.55249  397953.531
 692  3194.96875  394519.375
 693  3229.75977  391180.688
 694  3264.92944  387822.000
 695  3300.48218  384474.125
 696  3336.42212  381274.812
 697  3372.75342  378067.750
 698  3409.48022  374920.031
 699  3446.60693  371813.344
 700  3484.13794  368807.562
 701  3522.07764  365801.219
 702  3560.43066  362799.219
 703  3599.20117  359872.594
 704  3638.39404  357008.219
 705  3678.01367  354185.719
 706  3718.06470  351399.219
 707  3758.55176  348645.594
 708  3799.47974  345889.125
 709  3840.85327  343256.062
 710  3882.67749  340612.750
 711  3924.95703  338025.438
 712  3967.69702  335466.250
 713  4010.90234  332945.000
 714  4054.57812  330439.375
 715  4098.72949  327997.000
 716  4143.36182  325609.344
 717  4188.47998  323213.625
 718  4234.08936  320896.219
 719  4280.19580  318635.906
 720  4326.80420  316367.219
 721  4373.91992  314133.156
 722  4421.54883  311933.750
 723  4469.69629  309768.562
 724  4518.36816  307638.562
 725  4567.56982  305524.688
 726  4617.30762  303465.062
 727  4667.58691  301416.750
 728  4718.41357  299400.375
 729  4769.79395  297444.625
 730  4821.73340  295565.531
 731  4874.23877  293614.094
 732  4927.31592  291739.281
 733  4980.97070  289854.438
 734  5035.20996  288040.969
 735  5090.04004  286234.281
 736  5145.46680  284432.594
 737  5201.49707  282682.375
 738  5258.13770  280945.219
 739  5315.39502  279255.250
 740  5373.27588  277568.125
 741  5431.78711  275882.844
 742  5490.93555  274264.562
 743  5550.72803  272626.000
 744  5611.17139  271070.562
 745  5672.27295  269525.906
 746  5734.04004  268023.719
 747  5796.47949  266512.906
 748  5859.59912  265047.062
 749  5923.40576  263604.844
 750  5987.90723  262180.844
 751  6053.11133  260770.250
 752  6119.02539  259397.359
 753  6185.65723  258018.562
 754  6253.01465  256685.125
 755  6321.10547  255399.031
 756  6389.93799  254108.969
 757  6459.52002  252841.094
 758  6529.85938  251595.219
 759  6600.96484  250363.094
 760  6672.84473  249181.203
 761  6745.50732  247966.594
 762  6818.96094  246798.750
 763  6893.21436  245622.469
 764  6968.27637  244524.828
 765  7044.15576  243402.938
 766  7120.86182  242303.750
 767  7198.40283  241240.375
 768  7276.78857  240172.500
 769  7356.02783  239123.750
 770  7436.12988  238118.250
 771  7517.10400  237106.062
 772  7598.95996  236129.641
 773  7681.70703  235163.766
 774  7765.35547  234212.953
 775  7849.91455  233277.438
 776  7935.39453  232340.625
 777  8021.80518  231441.672
 778  8109.15674  230535.391
 779  8197.45996  229667.734
 780  8286.72461  228818.391
 781  8376.96094  227983.906
 782  8468.17969  227141.750
 783  8560.39258  226314.172
 784  8653.60938  225524.312
 785  8747.84082  224721.953
 786  8843.09863  223962.656
 787  8939.39355  223194.188
 788  9036.73730  222440.078
 789  9135.14062  221676.672
 790  9234.61621  220971.859
 791  9335.17480  220257.984
 792  9436.82812  219556.969
 793  9539.58887  218868.734
 794  9643.46777  218193.266
 795  9748.47852  217529.828
 796  9854.63281  216856.562
 797  9961.94238  216218.031
 798  10070.4209  215591.312
 799  10180.0811  214975.969
 800  10290.9346  214348.875
 801  10402.9951  213755.844
 802  10516.2764  213170.781
 803  10630.7910  212577.109
 804  10746.5527  212016.312
 805  10863.5752  211444.359
 806  10981.8721  210905.172
 807  11101.4570  210352.406
 808  11222.3438  209833.719
 809  11344.5469  209300.859
 810  11468.0811  208801.375
 811  11592.9600  208264.766
 812  11719.1992  207783.734
 813  11846.8135  207288.641
 814  11975.8164  206825.844
 815  12106.2246  206325.688
 816  12238.0527  205880.031
 817  12371.3164  205420.156
 818  12506.0312  204991.219
 819  12642.2129  204522.047
 820  12779.8779  204086.938
 821  12919.0420  203659.688
 822  13059.7217  203240.094
 823  13201.9326  202850.797
 824  13345.6924  202423.797
 825  13491.0176  202026.812
 826  13637.9248  201637.344
 827  13786.4326  201254.891
 828  13936.5566  200902.359
 829  14088.3154  200510.734
 830  14241.7275  200126.578
 831  14396.8096  199793.625
 832  14553.5811  199445.141
 833  14712.0596  199080.484
 834  14872.2637  198744.859
 835  15034.2119  198415.156
 836  15197.9238  198089.266
 837  15363.4180  197749.188
 838  15530.7148  197437.625
 839  15699.8330  197131.672
 840  15870.7930  196831.844
 841  16043.6143  196514.703
 842  16218.3174  196248.625
 843  16394.9238  195941.922
 844  16573.4531  195641.031
 845  16753.9258  195345.469
 846  16936.3633  195099.672
 847  17120.7891  194814.094
 848  17307.2227  194556.219
 849  17495.6855  194280.453
 850  17686.2012  194031.875
 851  17878.7910  193788.125
 852  18073.4785  193524.656
 853  18270.2852  193267.703
